No,Group,Feature,Definition,Formula_Note
1,HAR,LogRV_lag1,"1-day lagged log realized variance","log(r²_t × 252)"
2,HAR,LogRV_lag5,"5-day lagged log RV (rolling mean)","log(mean(r²_{t-4:t}) × 252)"
3,HAR,LogRV_lag10,"10-day lagged log RV","log(mean(r²_{t-9:t}) × 252)"
4,HAR,LogRV_lag22,"22-day lagged log RV","log(mean(r²_{t-21:t}) × 252)"
5,HAR,LogRV_Std5,"5-day rolling std of log RV","std(LogRV, window=5)"
6,HAR,LogRV_Std22,"22-day rolling std of log RV","std(LogRV, window=22)"
7,HAR,RV_Mom5,"5-day RV momentum","LogRV_t - LogRV_{t-5}"
8,HAR,RV_Mom22,"22-day RV momentum","LogRV_t - LogRV_{t-22}"
9,HAR,SPY_LogRV,"SPY log RV (cross-asset reference)","log(r²_SPY,t × 252)"
10,HAR,Ret_lag1,"1-day lagged return","r_{t-1}"
11,HAR,Ret_abs_lag1,"1-day lagged absolute return","|r_{t-1}|"
12,HAR,Corr_SPY,"22-day rolling correlation with SPY","corr(r_t, r_SPY,t, window=22)"
13,HF Proxy,Parkinson_5,"5-day Parkinson range-based estimator","(1/(4ln2)) × mean(log(H/L)², w=5)^0.5 × √252"
14,HF Proxy,Parkinson_22,"22-day Parkinson range-based estimator","(1/(4ln2)) × mean(log(H/L)², w=22)^0.5 × √252"
15,HF Proxy,GarmanKlass_22,"22-day Garman-Klass estimator","(0.5log(H/L)² - (2ln2-1)log(C/O)²)^0.5 × √252"
16,HF Proxy,RogersSatchell_22,"22-day Rogers-Satchell estimator","log(H/C)log(H/O) + log(L/C)log(L/O); w=22"
17,HF Proxy,Range_Close_Ratio,"Parkinson vs log RV ratio","log(Parkinson_22 + ε) - LogRV_22"
18,HF Proxy,Overnight_Vol,"22-day rolling std of overnight return","std(log(O_t/C_{t-1}), w=22)"
19,HF Proxy,Overnight_Ret,"Lagged overnight return","log(O_t/C_{t-1})"
20,IV Surface,IV_VIX,"Implied variance from VIX","(VIX_t / 100)²"
21,IV Surface,IV_VIX_chg,"Change in implied variance","IV_VIX_t - IV_VIX_{t-1}"
22,IV Surface,IV_VIX_ma5,"5-day MA of implied variance","mean(IV_VIX, w=5)"
23,IV Surface,IV_VIX_std5,"5-day rolling std of implied variance","std(IV_VIX, w=5)"
24,IV Surface,IV_VIX3M,"3-month implied variance from VIX3M","(VIX3M_t / 100)²"
25,IV Surface,IV_VIX_TermSlope,"Term structure slope (3M - 1M)","IV_VIX3M - IV_VIX"
26,IV Surface,IV_VIX9D,"9-day implied variance from VIX9D","(VIX9D_t / 100)²"
27,IV Surface,IV_VIX_ShortSlope,"Short-term slope (1M - 9D)","IV_VIX - IV_VIX9D"
28,IV Surface,IV_VRP,"Past VRP proxy","(VIX_t/100)² - RV_SPY,[t-22,t-1]"
29,IV Surface,IV_VRP_ma22,"22-day MA of past VRP proxy","mean(IV_VRP, w=22)"
30,Alternative,AltVol_Amihud,"22-day Amihud illiquidity","mean(|r_t| / (P_t × V_t + ε), w=22)"
31,Alternative,AltVol_Vol_Ratio,"Volume ratio (5d/22d MA)","mean(V, w=5) / mean(V, w=22)"
32,Alternative,AltVol_PV_Corr,"22-day price-volume correlation","corr(r_t, log(V_t+1), w=22)"
33,Alternative,AltVol_Vol_Surprise,"Standardized volume deviation","(V_t - mean(V, w=22)) / std(V, w=22)"
34,Alternative,AltVol_Order_Imbalance,"Buy/sell volume imbalance","(V_buy - V_sell) / (V_buy + V_sell + ε); w=22"
35,Alternative,AltVol_Kyle_Lambda,"Kyle lambda proxy (×10⁶)","mean(|r|, w=22) / mean(V, w=22) × 10⁶"
